dept_id,as_of_date,balance_typ,txn_amt,base_amt,txn_ccy,base_ccy,source_system_id,product_id,adjustment_rsn_cd,gaap_ind
SUPR100000130,10/22/2025,F,3.38178669151971E9,3.38178669151971E9,USD,USD,MS1200,660789,1,3
DERV100000131,10/22/2025,A,5.0297364185608E9,6.03568370227296E9,USD,GBP,FX8899,770654,2,4
CARD100000132,10/22/2025,P,4.13513728901244E9,6.20270593351866E9,USD,EUR,CB1023,880321,3,1
FINC100000133,10/22/2025,C,8.33997689516337E9,8.33997689516337E9,GBP,GBP,DW2045,990432,1,2
RISK100000134,10/22/2025,F,3.119894249003E7,2.807904824103E7,GBP,EUR,GL9901,123450,2,3
AUCT100000135,10/22/2025,A,5634634.32486,5634634.32486,EUR,EUR,NB4500,654321,3,4
LIMT100000136,10/22/2025,P,4.01512006781932E9,4.01512006781932E9,USD,USD,SW7788,450123,1,1
INTG100000137,10/22/2025,C,7.97444212716496E9,9.56933055259795E9,USD,GBP,TR4455,450456,2,2
OPER100000138,10/22/2025,F,2.56715372512856E9,3.85073058769284E9,USD,EUR,MS1200,550321,3,3
BNKG100000139,10/22/2025,A,7.7556884757964E9,7.7556884757964E9,GBP,GBP,FX8899,660789,1,4
AUDT100000140,10/22/2025,P,6.64597686613482E9,5.98137917952134E9,GBP,EUR,CB1023,770654,2,1
CTRL100000141,10/22/2025,C,6.2433602970844E8,6.2433602970844E8,EUR,EUR,DW2045,880321,3,2
TREZ100000142,10/22/2025,F,9.5454570053408E8,9.5454570053408E8,USD,USD,GL9901,990432,1,3
OBSV100000143,10/22/2025,A,1.55743495845072E9,1.86892195014086E9,USD,GBP,NB4500,123450,2,4
PAYM100000144,10/22/2025,P,1.10759352980847E9,1.66139029471271E9,USD,EUR,SW7788,654321,3,1
CASH100000145,10/22/2025,C,9.42989652304799E9,9.42989652304799E9,GBP,GBP,TR4455,450123,1,2
SUPR100000146,10/22/2025,F,2.15655472137512E9,1.94089924923761E9,GBP,EUR,MS1200,450456,2,3
DERV100000147,10/22/2025,A,1.765802259198E8,1.765802259198E8,EUR,EUR,FX8899,550321,3,4
CARD100000148,10/22/2025,P,1.71191232489825E9,1.71191232489825E9,USD,USD,CB1023,660789,1,1
FINC100000149,10/22/2025,C,5.61644158853847E9,6.73972990624616E9,USD,GBP,DW2045,770654,2,2
RISK100000150,10/22/2025,F,4.4807161232433E8,6.721074184865E8,USD,EUR,GL9901,880321,3,3
AUCT100000151,10/22/2025,A,4.4466565016769E9,4.4466565016769E9,GBP,GBP,NB4500,990432,1,4
LIMT100000152,10/22/2025,P,6.05229881853984E9,5.44706893668586E9,GBP,EUR,SW7788,123450,2,1
INTG100000153,10/22/2025,C,2.72125834205917E9,2.72125834205917E9,EUR,EUR,TR4455,654321,3,2
OPER100000154,10/22/2025,F,6.92425373369313E9,6.92425373369313E9,USD,USD,MS1200,450123,1,3
BNKG100000155,10/22/2025,A,3.5339829997045E9,4.2407795996454E9,USD,GBP,FX8899,450456,2,4
AUDT100000156,10/22/2025,P,4.3102853853304E8,6.4654280779956E8,USD,EUR,CB1023,550321,3,1
CTRL100000157,10/22/2025,C,7.84010954889676E9,7.84010954889676E9,GBP,GBP,DW2045,660789,1,2
TREZ100000158,10/22/2025,F,4.36693543949205E9,3.93024189554285E9,GBP,EUR,GL9901,770654,2,3
OBSV100000159,10/22/2025,A,9.0723699281571E8,9.0723699281571E8,EUR,EUR,NB4500,880321,3,4
PAYM100000160,10/22/2025,P,2.72367314127849E9,2.72367314127849E9,USD,USD,SW7788,990432,1,1
CASH100000161,10/22/2025,C,4.90173837158073E9,5.88208604589688E9,USD,GBP,TR4455,123450,2,2
SUPR100000162,10/22/2025,F,4.03329340651859E9,6.04994010977789E9,USD,EUR,MS1200,654321,3,3
DERV100000163,10/22/2025,A,5.59718133698045E9,5.59718133698045E9,GBP,GBP,FX8899,450123,1,4
CARD100000164,10/22/2025,P,6.21420288262558E9,5.59278259436302E9,GBP,EUR,CB1023,450456,2,1
FINC100000165,10/22/2025,C,4.05689462364054E9,4.05689462364054E9,EUR,EUR,DW2045,550321,3,2
RISK100000166,10/22/2025,F,8.38840127792498E9,8.38840127792498E9,USD,USD,GL9901,660789,1,3
AUCT100000167,10/22/2025,A,4.98516068512651E9,5.98219282215181E9,USD,GBP,NB4500,770654,2,4
LIMT100000168,10/22/2025,P,6.64540760095801E9,9.96811140143702E9,USD,EUR,SW7788,880321,3,1
INTG100000169,10/22/2025,C,4.88939395097362E9,4.88939395097362E9,GBP,GBP,TR4455,990432,1,2
OPER100000170,10/22/2025,F,8.64230434542295E9,7.77807391088066E9,GBP,EUR,MS1200,123450,2,3
BNKG100000171,10/22/2025,A,3.26517401121263E9,3.26517401121263E9,EUR,EUR,FX8899,654321,3,4
AUDT100000172,10/22/2025,P,4.67667281963434E9,4.67667281963434E9,USD,USD,CB1023,450123,1,1
CTRL100000173,10/22/2025,C,6.2011463067252E8,7.4413755680702E8,USD,GBP,DW2045,450456,2,2
TREZ100000174,10/22/2025,F,5.94516057970091E9,8.91774086955137E9,USD,EUR,GL9901,550321,3,3
OBSV100000175,10/22/2025,A,6.42662009332422E9,6.42662009332422E9,GBP,GBP,NB4500,660789,1,4
PAYM100000176,10/22/2025,P,9.30103593736542E9,8.37093234362888E9,GBP,EUR,SW7788,770654,2,1
CASH100000177,10/22/2025,C,1.08057470234958E9,1.08057470234958E9,EUR,EUR,TR4455,880321,3,2
SUPR100000178,10/22/2025,F,5.95785788048206E9,5.95785788048206E9,USD,USD,MS1200,990432,1,3
DERV100000179,10/22/2025,A,3.4837869286998E9,4.18054431443976E9,USD,GBP,FX8899,123450,2,4
CARD100000180,10/22/2025,P,5.16478991256616E9,7.74718486884924E9,USD,EUR,CB1023,654321,3,1
FINC100000181,10/22/2025,C,2.88295694552822E9,2.88295694552822E9,GBP,GBP,DW2045,450123,1,2
RISK100000182,10/22/2025,F,2.33944422619286E9,2.10549980357357E9,GBP,EUR,GL9901,450456,2,3
AUCT100000183,10/22/2025,A,9.511144268752E8,9.511144268752E8,EUR,EUR,NB4500,550321,3,4
LIMT100000184,10/22/2025,P,8.05492290559738E9,8.05492290559738E9,USD,USD,SW7788,660789,1,1
INTG100000185,10/22/2025,C,6.0181725921535E9,7.2218071105842E9,USD,GBP,TR4455,770654,2,2
OPER100000186,10/22/2025,F,7.3418354763859E8,1.10127532145789E9,USD,EUR,MS1200,880321,3,3
BNKG100000187,10/22/2025,A,1.17868207182878E9,1.17868207182878E9,GBP,GBP,FX8899,990432,1,4
AUDT100000188,10/22/2025,P,7.44375424672604E9,6.69937882205344E9,GBP,EUR,CB1023,123450,2,1
CTRL100000189,10/22/2025,C,5.40196845660569E9,5.40196845660569E9,EUR,EUR,DW2045,654321,3,2
TREZ100000190,10/22/2025,F,4.44460317530447E9,4.44460317530447E9,USD,USD,GL9901,450123,1,3
OBSV100000191,10/22/2025,A,3.72334869220004E9,4.46801843064005E9,USD,GBP,NB4500,450456,2,4
PAYM100000192,10/22/2025,P,9.6554636971004E8,1.44831955456506E9,USD,EUR,SW7788,550321,3,1
CASH100000193,10/22/2025,C,6.51190239175723E9,6.51190239175723E9,GBP,GBP,TR4455,660789,1,2
SUPR100000194,10/22/2025,F,1.69188393835316E9,1.52269554451784E9,GBP,EUR,MS1200,770654,2,3
DERV100000195,10/22/2025,A,5.33436871696037E9,5.33436871696037E9,EUR,EUR,FX8899,880321,3,4
CARD100000196,10/22/2025,P,4.89718428164714E9,4.89718428164714E9,USD,USD,CB1023,990432,1,1
FINC100000197,10/22/2025,C,5.50850581631389E9,6.61020697957667E9,USD,GBP,DW2045,123450,2,2
RISK100000198,10/22/2025,F,3.81313197652379E9,5.71969796478569E9,USD,EUR,GL9901,654321,3,3
AUCT100000199,10/22/2025,A,6.42066709815695E9,6.42066709815695E9,GBP,GBP,NB4500,450123,1,4
LIMT100000200,10/22/2025,P,2.85962682254675E9,2.57366414029208E9,GBP,EUR,SW7788,450456,2,1
INTG100000201,10/22/2025,C,7.28601878906502E9,7.28601878906502E9,EUR,EUR,TR4455,550321,3,2
OPER100000202,10/22/2025,F,3.33218057843631E9,3.33218057843631E9,USD,USD,MS1200,660789,1,3
BNKG100000203,10/22/2025,A,8.03209367045373E9,9.63851240454448E9,USD,GBP,FX8899,770654,2,4
AUDT100000204,10/22/2025,P,1.31965399471188E9,1.97948099206782E9,USD,EUR,CB1023,880321,3,1
CTRL100000205,10/22/2025,C,2.58981872596237E9,2.58981872596237E9,GBP,GBP,DW2045,990432,1,2
TREZ100000206,10/22/2025,F,8.35459086127486E9,7.51913177514737E9,GBP,EUR,GL9901,123450,2,3
OBSV100000207,10/22/2025,A,5.85958640080917E9,5.85958640080917E9,EUR,EUR,NB4500,654321,3,4
PAYM100000208,10/22/2025,P,8.76335143487803E9,8.76335143487803E9,USD,USD,SW7788,450123,1,1
CASH100000209,10/22/2025,C,2.62637969857924E9,3.15165563829509E9,USD,GBP,TR4455,450456,2,2
SUPR100000210,10/22/2025,F,5.0304170031052E8,7.5456255046578E8,USD,EUR,MS1200,550321,3,3
DERV100000211,10/22/2025,A,5.90181806932349E9,5.90181806932349E9,GBP,GBP,FX8899,660789,1,4
CARD100000212,10/22/2025,P,5.08990559277719E9,4.58091503349947E9,GBP,EUR,CB1023,770654,2,1
FINC100000213,10/22/2025,C,2.90751825878365E9,2.90751825878365E9,EUR,EUR,DW2045,880321,3,2
RISK100000214,10/22/2025,F,7.66172553059912E9,7.66172553059912E9,USD,USD,GL9901,990432,1,3
AUCT100000215,10/22/2025,A,3.95783055026368E9,4.74939666031642E9,USD,GBP,NB4500,123450,2,4
LIMT100000216,10/22/2025,P,4.79558163103009E9,7.19337244654514E9,USD,EUR,SW7788,654321,3,1
INTG100000217,10/22/2025,C,4.28974165662216E9,4.28974165662216E9,GBP,GBP,TR4455,450123,1,2
OPER100000218,10/22/2025,F,9.38726380034926E9,8.44853742031433E9,GBP,EUR,MS1200,450456,2,3
BNKG100000219,10/22/2025,A,4.85107381625106E9,4.85107381625106E9,EUR,EUR,FX8899,550321,3,4
